date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:29:37	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://allibravobotina.wixsite.com/robots.txt		(from )
07:29:39	440304/440304	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:29:34%20GMT	https://allibravobotina.wixsite.com/misitio-1	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/allibravobotina.wixsite.com/misitio-1.html	(from )
07:29:40	137771/137771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:41	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:41	36299/36299	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2012%20May%202020%2013:13:16%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/polyfill.io/v3/polyfill.mind82c.js	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:41	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Sep%202020%2012:29:41%20GMT	https://allibravobotina.wixsite.com/misitio-1/decodeURIComponent(e	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/allibravobotina.wixsite.com/misitio-1/decodeURIComponent(e	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:42	13719/13719	---MCZ	200	added ('OK')	application/json	date:Fri,%2004%20Sep%202020%2012:29:41%20GMT	https://allibravobotina.wixsite.com/misitio-1/_api/v2/dynamicmodel	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/allibravobotina.wixsite.com/misitio-1/_api/v2/dynamicmodel.json	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:44	78132/78132	---MCZ	200	added ('OK')	application/javascript	etag:W/%223ae26c5b147ab35a5e876c84ecb549a2%22	https://static.parastorage.com/services/santa-members-viewer-app/1.524.0/app.bundle.min.js	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/static.parastorage.com/services/santa-members-viewer-app/1.524.0/app.bundle.min.js	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:44	385578/385578	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c27fa81467466b04f7cfacdfa5385928%22	https://static.parastorage.com/services/santa-members-editor-app/1.834.0/editorAppModule.bundle.min.js	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/static.parastorage.com/services/santa-members-editor-app/1.834.0/editorAppModule.bundle.min.js	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:47	345445/345445	---MCZ	200	added ('OK')	application/javascript	etag:W/%228a45aa20256b2c6a7e0a5a0b15a85073%22	https://static.parastorage.com/services/wix-thunderbolt/dist/clientWorker.98614987.bundle.min.js	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/static.parastorage.com/services/wix-thunderbolt/dist/clientWorker.98614987.bundle.min.js	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:47	416568/416568	---M--	200	added ('OK')	image/png	etag:%2267f18ef1cef3afdd68201d0f44f5a2b2-1%22	https://static.parastorage.com//services/santa-resources/resources/viewer/editorUI/fonts.v10.png	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/static.parastorage.com/services/santa-resources/resources/viewer/editorUI/fonts.v10.png	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:49	1259633/1259633	---MCZ	200	added ('OK')	application/javascript	etag:W/%22578100ca4cc319d97f9e032ad5d6b8ca%22	https://static.parastorage.com/services/editor-elements/1.2215.0/componentSSRSdks.bundle.js	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/static.parastorage.com/services/editor-elements/1.2215.0/componentSSRSdks.bundle.js	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:49	48943/48943	---MCZ	200	added ('OK')	application/javascript	etag:W/%2251cea00aecd6a508d3943ba0acb83896%22	https://static.parastorage.com/services/editor-elements/dist/componentSdks.b7347737.bundle.min.js	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/static.parastorage.com/services/editor-elements/dist/componentSdks.b7347737.bundle.min.js	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:49	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Sep%202020%2012:29:49%20GMT	https://allibravobotina.wixsite.com/misitio-1/robots.txt	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/allibravobotina.wixsite.com/misitio-1/robots.txt	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:50	272/272	---M--	200	added ('OK')	text/xml	etag:e66c7db012af8f3993ba2254624251e4	https://allibravobotina.wixsite.com/misitio-1/sitemap.xml	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/allibravobotina.wixsite.com/misitio-1/sitemap.xml	(from https://allibravobotina.wixsite.com/misitio-1)
07:29:50	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Sep%202020%2012:29:50%20GMT	https://allibravobotina.wixsite.com/misitio-1/feed.xml	C:/Mis%20lugares%20Web/LiceoJosefelixJimenez/allibravobotina.wixsite.com/misitio-1/feed.xml	(from https://allibravobotina.wixsite.com/misitio-1)
